,RDM33605_TC1_DefaultOrdering,PASSED,58,3,0,30.62,,||,,RDM33605_TC1_DefaultOrdering,PASSED,60,3,0,27.61
,RDM33605_TC2_SetProperties,PASSED,134,43,0,400.37,,||,,RDM33605_TC2_SetProperties,PASSED,136,43,0,308.39
,RDM33605_TC3_ValueProperties,PASSED,90,19,0,204.14,,||,,RDM33605_TC3_ValueProperties,PASSED,92,19,0,161.16
,RDM33605_TC4_UpdateValues,PASSED,82,8,0,159.11,,||,,RDM33605_TC4_UpdateValues,PASSED,84,8,0,130.30
RDM33609_ImportSupportComoundKeys,RDM33609_ImportSupportCompoundKeys_ReloadPreReq,PASSED,51,0,0,11.13,,||,RDM33609_ImportSupportComoundKeys,RDM33609_ImportSupportCompoundKeys_ReloadPreReq,PASSED,53,0,0,10.57
,RDM33609_TC01_ImportCodeAndName,PASSED,166,93,0,334.22,,||,,RDM33609_TC01_ImportCodeAndName,PASSED,167,93,0,169.02
,RDM33609_TC02_ImportString,PASSED,85,18,0,205.66,,||,,RDM33609_TC02_ImportString,PASSED,86,18,0,107.21
,RDM33609_TC03_ImportText,PASSED,100,27,0,275.69,,||,,RDM33609_TC03_ImportText,PASSED,101,27,0,148.54
,RDM33609_TC04_ImportDecimalTimeStamp,PASSED,98,31,0,405.14,,||,,RDM33609_TC04_ImportDecimalTimeStamp,PASSED,99,31,0,147.66
,RDM33609_TC05_ImportRDSBooleanURL,PASSED,103,36,0,461.24,,||,,RDM33609_TC05_ImportRDSBooleanURL,PASSED,104,36,0,152.52
,RDM33609_TC06_ImportNoneValues,PASSED,89,12,0,162.48,,||,,RDM33609_TC06_ImportNoneValues,PASSED,90,12,0,100.76
,RDM33609_TC07_ImportDateAsString,PASSED,95,20,0,253.39,,||,,RDM33609_TC07_ImportDateAsString,PASSED,96,20,0,139.07
,RDM33609_TC08_ImportIntAsString,PASSED,93,22,0,238.84,,||,,RDM33609_TC08_ImportIntAsString,PASSED,94,22,0,116.85
,RDM33609_TC09_ImportInvalidFile,FAILED,65,1,2,79.96,,||,,RDM33609_TC09_ImportInvalidFile,FAILED,66,1,2,53.92
,RDM33609_TC10_ImportNestedDataType,PASSED,124,55,0,657.70,,||,,RDM33609_TC10_ImportNestedDataType,PASSED,125,55,0,145.97
,RDM33609_TC11_NonRequiredProperties,PASSED,101,34,0,519.03,,||,,RDM33609_TC11_NonRequiredProperties,PASSED,102,34,0,136.16
,RDM33609_TC12_NonKeyedProperties,PASSED,104,34,0,517.76,,||,,RDM33609_TC12_NonKeyedProperties,PASSED,105,34,0,136.66
,RDM33609_TC13_XMLImportinCSVFormat,FAILED,64,1,1,78.02,,||,,RDM33609_TC13_XMLImportinCSVFormat,FAILED,65,1,1,52.51
RDM33613_HierarchyDisplayNode,RDM33613_PR00_CreateFolder,PASSED,62,4,0,32.68,,||,RDM33613_HierarchyDisplayNode,RDM33613_PR00_CreateFolder,PASSED,64,4,0,27.18,,||,RDM33613_HierarchyDisplayNode,RDM33613_PR00_CreateFolder,PASSED,62,4,0,30.02,,||,RDM33613_HierarchyDisplayNode,RDM33613_PR00_CreateFolder,PASSED,62,4,0,31.80
,RDM33613_PR01_CreateGrandparents,PASSED,109,10,0,226.41,,||,,RDM33613_PR01_CreateGrandparents,PASSED,110,10,0,170.71,,||,,RDM33613_PR01_CreateGrandparents,PASSED,109,10,0,189.01,,||,,RDM33613_PR01_CreateGrandparents,PASSED,109,10,0,295.51
,RDM33613_PR02_CreateParents,PASSED,119,11,0,278.31,,||,,RDM33613_PR02_CreateParents,PASSED,120,11,0,205.65,,||,,RDM33613_PR02_CreateParents,FAILED,119,9,2,268.83,,||,,RDM33613_PR02_CreateParents,PASSED,119,11,0,360.87
,RDM33613_PR03_CreateChildren,PASSED,118,11,0,266.82,,||,,RDM33613_PR03_CreateChildren,PASSED,119,11,0,197.86,,||,,RDM33613_PR03_CreateChildren,FAILED,118,9,2,301.23,,||,,RDM33613_PR03_CreateChildren,PASSED,118,11,0,354.27
,RDM33613_TC1_HierarchyInformatioNodes,PASSED,143,36,0,205.35,,||,,RDM33613_TC1_HierarchyInformatioNodes,FAILED,126,20,6,176.59,,||,,RDM33613_TC1_HierarchyInformatioNodes,FAILED,101,11,0,409.67,,||,,RDM33613_TC1_HierarchyInformatioNodes,PASSED,144,36,0,292.46
RDM33613_ManageHierarchyLevels,RDM33613_PR0_CreateFolder,PASSED,61,4,0,30.64,,||,RDM33613_ManageHierarchyLevels,RDM33613_PR0_CreateFolder,PASSED,63,4,0,26.05
,RDM33613_PR1_CreateContinents,PASSED,86,2,0,132.33,,||,,RDM33613_PR1_CreateContinents,PASSED,88,2,0,98.86
,RDM33613_PR2_CreateCountires,PASSED,114,3,0,248.99,,||,,RDM33613_PR2_CreateCountires,PASSED,116,3,0,178.75
,RDM33613_PR3_CreateStates,PASSED,108,3,0,220.54,,||,,RDM33613_PR3_CreateStates,PASSED,110,3,0,167.41
,RDM33613_PR4_CreateCities,PASSED,120,3,0,257.77,,||,,RDM33613_PR4_CreateCities,PASSED,122,3,0,191.01
,RDM33613_TC1_ManageHierarchyLevels,PASSED,176,48,0,1027.78,,||,,RDM33613_TC1_ManageHierarchyLevels,PASSED,184,48,0,505.98
RDM33717_ManagedHierarchyStates,RDM33717_PR0_CreateFolder,PASSED,59,1,0,32.40,,||,RDM33717_ManagedHierarchyStates,RDM33717_PR0_CreateFolder,PASSED,61,1,0,27.16
,RDM33717_TC1_ActionSAPStates,PASSED,126,27,0,206.57,,||,,RDM33717_TC1_ActionSAPStates,PASSED,128,27,0,177.08
,RDM33717_TC2_ActonSM2States,PASSED,76,7,0,81.22,,||,,RDM33717_TC2_ActonSM2States,PASSED,78,7,0,66.27
,RDM33717_TC3_ActionAEStates,PASSED,67,4,0,46.65,,||,,RDM33717_TC3_ActionAEStates,PASSED,69,4,0,34.44
,RDM33717_TC4_ActionTSAStates,PASSED,132,31,0,250.33,,||,,RDM33717_TC4_ActionTSAStates,PASSED,134,31,0,220.23
RDM47739_SetExportWizard,RDM47739_PR00_CreateFolder,PASSED,61,4,0,38.32,,||,RDM47739_SetExportWizard,RDM47739_PR00_CreateFolder,PASSED,63,4,0,34.03
,RDM47739_PR01_CreateSimpleSet,PASSED,94,1,0,269.51,,||,,RDM47739_PR01_CreateSimpleSet,PASSED,96,1,0,228.31
,RDM47739_PR02_CreateComplexSet,PASSED,194,1,0,735.29,,||,,RDM47739_PR02_CreateComplexSet,PASSED,196,1,0,593.91
,RDM47739_PR03_CreateComplexSet,PASSED,110,0,0,379.61,,||,,RDM47739_PR03_CreateComplexSet,PASSED,112,0,0,325.61
,RDM47739_TC01_ModifyCSVSettings,PASSED,67,3,0,85.16,,||,,RDM47739_TC01_ModifyCSVSettings,PASSED,69,3,0,72.18
,RDM47739_TC02_ModifyXMLSettings,PASSED,73,4,0,139.20,,||,,RDM47739_TC02_ModifyXMLSettings,PASSED,73,4,0,96.51
,RDM47739_TC03_ModifyCSVNames,PASSED,101,1,0,314.07,,||,,RDM47739_TC03_ModifyCSVNames,FAILED,61,0,0,351.19
,RDM47739_TC05_TranslateCSV,PASSED,101,1,0,356.35,,||,,RDM47739_TC05_TranslateCSV,PASSED,99,1,0,257.27
,RDM47739_TC06_ReuseFormat,PASSED,115,1,0,434.88,,||,,RDM47739_TC06_ReuseFormat,PASSED,113,1,0,313.16
,RDM47739_TC07_EditFormat,PASSED,99,1,0,342.15,,||,,RDM47739_TC07_EditFormat,PASSED,97,1,0,224.47
,RDM47739_TC08_DeleteFormat,PASSED,72,2,0,150.06,,||,,RDM47739_TC08_DeleteFormat,PASSED,74,2,0,120.51
RDM61046_SetProperties,RDM61046_SetProperties_CreateFolder,PASSED,64,1,0,60.43,,||,RDM61046_SetProperties,RDM61046_SetProperties_CreateFolder,PASSED,66,1,0,49.84
,RDM61046_SetProperties_Part1,FAILED,74,0,1,411.51,,||,,RDM61046_SetProperties_Part1,PASSED,76,1,0,75.65
,RDM61046_SetProperties_Part2,PASSED,80,8,0,94.53,,||,,RDM61046_SetProperties_Part2,PASSED,82,8,0,78.21
,RDM61046_SetProperties_Part3,PASSED,80,8,0,94.25,,||,,RDM61046_SetProperties_Part3,PASSED,82,8,0,78.10
,RDM61046_SetProperties_Part4,PASSED,116,15,0,161.89,,||,,RDM61046_SetProperties_Part4,PASSED,118,15,0,125.20
,RDM61046_SetProperties_Part5,PASSED,157,5,0,417.22,,||,,RDM61046_SetProperties_Part5,PASSED,159,5,0,325.50
,RDM61046_SetProperties_Part6,PASSED,178,36,0,420.40,,||,,RDM61046_SetProperties_Part6,PASSED,180,36,0,293.78
,RDM61046_SetProperties_Part7,PASSED,195,10,0,564.09,,||,,RDM61046_SetProperties_Part7,PASSED,197,10,0,369.37
RDM61046_SetProperties-Defect,Defect81356_PR2_Consolidate_Leaf,FAILED,55,0,0,329.07,,||,RDM61046_SetProperties-Defect,Defect81356_PR2_Consolidate_Leaf,FAILED,57,0,0,321.88,,||,RDM61046_SetProperties-Defect,Defect81356_PR2_Consolidate_Leaf,FAILED,60,0,2,650.44
RDM50169_ExtendManageHierarchies,RDM50169_ExtendManageHierarchies_CreateFolder,PASSED,62,1,0,51.79,,||,RDM50169_ExtendManageHierarchies,RDM50169_ExtendManageHierarchies_CreateFolder,PASSED,64,1,0,43.44
,RDM50169_ExtendManageHierarchies_Part1,PASSED,91,1,0,110.53,,||,,RDM50169_ExtendManageHierarchies_Part1,PASSED,93,1,0,78.14
,RDM50169_ExtendManageHierarchies_Part2,PASSED,91,1,0,111.31,,||,,RDM50169_ExtendManageHierarchies_Part2,PASSED,93,1,0,78.06
,RDM50169_ExtendManageHierarchies_Part3,PASSED,205,76,0,263.34,,||,,RDM50169_ExtendManageHierarchies_Part3,PASSED,207,76,0,135.77
,RDM50169_ExtendManageHierarchies_Part4,PASSED,98,15,0,114.52,,||,,RDM50169_ExtendManageHierarchies_Part4,PASSED,100,15,0,75.80
,RDM50169_ExtendManageHierarchies_Part5,PASSED,98,15,0,101.54,,||,,RDM50169_ExtendManageHierarchies_Part5,PASSED,100,15,0,63.34
,RDM50169_ExtendManageHierarchies_Part6,PASSED,116,18,0,147.35,,||,,RDM50169_ExtendManageHierarchies_Part6,PASSED,118,18,0,90.73
,RDM50169_ExtendManageHierarchies_Part7,PASSED,118,18,0,143.26,,||,,RDM50169_ExtendManageHierarchies_Part7,PASSED,120,18,0,84.79
RDM50169_ExtendManageHierarchies-Defect,Defect75948_TC1_ManagedHierarchyNode,FAILED,47,0,0,13.88,,||,RDM50169_ExtendManageHierarchies-Defect,Defect75948_TC1_ManagedHierarchyNode,PASSED,65,4,0,27.17
,Defect75948_TC2_ApprovedSourceSet,FAILED,47,0,0,3614.35,,||,,Defect75948_TC2_ApprovedSourceSet,PASSED,104,18,0,135.44
,Defect75948_TC3_ApprovedTargetSet,FAILED,54,0,0,321.88,,||,,Defect75948_TC3_ApprovedTargetSet,PASSED,105,17,0,154.23
,Defect75948_TC4_ApprovedMappingSet,FAILED,58,1,0,337.03,,||,,Defect75948_TC4_ApprovedMappingSet,PASSED,98,10,0,144.85
,Defect75948_TC5_ApprovedHierarchy,FAILED,57,0,0,324.23,,||,,Defect75948_TC5_ApprovedHierarchy,PASSED,95,5,0,127.71
,Defect75948_TC6_ApprovedNewVersionHierarchy,FAILED,57,0,0,323.68,,||,,Defect75948_TC6_ApprovedNewVersionHierarchy,FAILED,95,0,0,211.15
,Defect75948_TC7_ManagedHierarchyNode-SM2,PASSED,63,4,0,32.42,,||,,Defect75948_TC7_ManagedHierarchyNode-SM2,PASSED,65,4,0,27.30
,Defect75948_TC8_SM2-SourceSet,PASSED,99,17,0,158.90,,||,,Defect75948_TC8_SM2-SourceSet,PASSED,100,17,0,115.44
,Defect75948_TC9_SM2-TargetSet,PASSED,100,16,0,185.65,,||,,Defect75948_TC9_SM2-TargetSet,PASSED,101,16,0,138.22
,Defect75948_TC10_SM2-MappingSet,PASSED,94,10,0,171.63,,||,,Defect75948_TC10_SM2-MappingSet,PASSED,95,10,0,121.71
,Defect75948_TC11_SM2-Hierarchy,PASSED,90,5,0,158.15,,||,,Defect75948_TC11_SM2-Hierarchy,PASSED,92,5,0,115.54
,Defect75948_TC12_SM2-NewVersionHierarchy,PASSED,127,5,0,378.84,,||,,Defect75948_TC12_SM2-NewVersionHierarchy,FAILED,89,0,0,166.97
,Defect75948_TC13_ManagedHierarchyNode-TSA,PASSED,63,4,0,32.54,,||,,Defect75948_TC13_ManagedHierarchyNode-TSA,PASSED,65,4,0,27.13
,Defect75948_TC14_TSA-SourceSet,PASSED,107,19,0,195.01,,||,,Defect75948_TC14_TSA-SourceSet,PASSED,108,19,0,147.02
,Defect75948_TC15_TSA-TargetSet,PASSED,108,18,0,212.61,,||,,Defect75948_TC15_TSA-TargetSet,PASSED,109,18,0,161.39
,Defect75948_TC16_TSA-MappingSet,PASSED,100,10,0,201.81,,||,,Defect75948_TC16_TSA-MappingSet,PASSED,101,10,0,143.78
,Defect75948_TC17_TSA-Hierarchy,PASSED,96,5,0,188.08,,||,,Defect75948_TC17_TSA-Hierarchy,PASSED,98,5,0,138.84
,Defect75948_TC18_TSA-NewVersionHierarchy,PASSED,145,5,0,493.82,,||,,Defect75948_TC18_TSA-NewVersionHierarchy,PASSED,147,5,0,412.17
,Defect76205_PR0_AdvancedHierarchyDefMapping_CreateFolder,PASSED,63,4,0,32.22,,||,,Defect76205_PR0_AdvancedHierarchyDefMapping_CreateFolder,PASSED,65,4,0,27.15
,Defect76205_PR1_Consolidate_Node,FAILED,77,3,0,84.85,,||,,Defect76205_PR1_Consolidate_Node,FAILED,96,3,11,782.14
,Defect76205_PR2_Consolidate_Leaf,FAILED,76,3,0,84.96,,||,,Defect76205_PR2_Consolidate_Leaf,FAILED,78,3,0,366.47
,Defect76205_PR3_Consolidate_map,FAILED,58,1,0,338.56,,||,,Defect76205_PR3_Consolidate_map,FAILED,60,1,0,327.83
,Defect76205_TC1_Consolidate_hieararchy,FAILED,73,0,0,409.95,,||,,Defect76205_TC1_Consolidate_hieararchy,FAILED,74,0,0,79.70
,Defect80527_PR0_AdvancedHierarchyExporting_CreateFolder,PASSED,63,4,0,32.16,,||,,Defect80527_PR0_AdvancedHierarchyExporting_CreateFolder,PASSED,65,4,0,27.28
,Defect80527_PR1_Performance_SourceSet,PASSED,102,15,0,181.98,,||,,Defect80527_PR1_Performance_SourceSet,PASSED,103,15,0,137.73
,Defect80527_PR2_Performance_TargetSet,PASSED,97,15,0,164.45,,||,,Defect80527_PR2_Performance_TargetSet,PASSED,98,15,0,122.74
,Defect80527_PR3_Performance_MappingSet,PASSED,91,10,0,149.21,,||,,Defect80527_PR3_Performance_MappingSet,PASSED,92,10,0,108.29
,Defect80527_TC1_Performance_HierarchySet,PASSED,88,1,0,174.50,,||,,Defect80527_TC1_Performance_HierarchySet,PASSED,90,1,0,145.97
,Defect82111_PR0_LevelHierarchy_CreateFolder,PASSED,63,4,0,31.85,,||,,Defect82111_PR0_LevelHierarchy_CreateFolder,PASSED,65,4,0,27.16
,Defect82111_PR1_CreateDataType,PASSED,95,2,0,237.82,,||,,Defect82111_PR1_CreateDataType,PASSED,97,2,0,188.63
,Defect82111_PR2_Leaf,PASSED,109,13,0,204.39,,||,,Defect82111_PR2_Leaf,PASSED,109,13,0,154.51
,Defect82111_PR3_Node,PASSED,109,13,0,205.36,,||,,Defect82111_PR3_Node,PASSED,109,13,0,154.80
,Defect82111_PR4_CK_Leaf,PASSED,109,13,0,211.24,,||,,Defect82111_PR4_CK_Leaf,PASSED,109,13,0,154.99
,Defect82111_PR5_CK_Node,PASSED,109,13,0,211.14,,||,,Defect82111_PR5_CK_Node,PASSED,109,13,0,155.84
,Defect82111_PR6_LeafNode,PASSED,87,10,0,129.98,,||,,Defect82111_PR6_LeafNode,PASSED,88,10,0,88.72
,Defect82111_PR7_LeafCKNode,PASSED,87,10,0,128.97,,||,,Defect82111_PR7_LeafCKNode,PASSED,88,10,0,89.37
,Defect82111_PR8_CKLeafNode,FAILED,69,1,0,106.82,,||,,Defect82111_PR8_CKLeafNode,PASSED,88,10,0,88.80
,Defect82111_PR9_CKLeafCKNode,PASSED,87,10,0,132.80,,||,,Defect82111_PR9_CKLeafCKNode,PASSED,88,10,0,89.83
,Defect82111_TC1_AdHierLeafNode,PASSED,102,13,0,201.84,,||,,Defect82111_TC1_AdHierLeafNode,PASSED,104,13,0,165.86
,Defect82111_TC2_AdHierLeafCKNode,PASSED,101,11,0,207.79,,||,,Defect82111_TC2_AdHierLeafCKNode,PASSED,103,11,0,171.55
,Defect82111_TC3_AdHierCKLeafNode,FAILED,111,0,15,4702.95,,||,,Defect82111_TC3_AdHierCKLeafNode,FAILED,113,13,2,515.46
,Defect82111_TC4_AdHierNodeCKLeaf,FAILED,110,0,15,4076.24,,||,,Defect82111_TC4_AdHierNodeCKLeaf,PASSED,112,15,0,199.25
,Defect82111_TC5_AdHierCKNodeLeaf,PASSED,107,12,0,236.33,,||,,Defect82111_TC5_AdHierCKNodeLeaf,PASSED,109,12,0,199.64
,Defect82111_TC6_AdHierCKLeafCKNode,FAILED,110,12,2,868.32,,||,,Defect82111_TC6_AdHierCKLeafCKNode,FAILED,112,11,3,1106.97
,Defect82111_TC7_AdHierCKNodeCKLeaf,PASSED,110,15,0,240.79,,||,,Defect82111_TC7_AdHierCKNodeCKLeaf,PASSED,112,15,0,198.15
,Defect81356_SetProperties_CreateFolder,PASSED,64,1,0,54.48
